provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah,cluster,kategori_kesejahteraan
ACEH,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,96799.0,2500000.0,287004.0,14809.0,0,Menengah
ACEH,NONMAKANAN,PERDESAAN,2018,MARET,100825.0,2700000.0,331248.0,13814.0,0,Menengah
ACEH,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,104778.0,2700000.0,331248.0,13814.0,0,Menengah
ACEH,NONMAKANAN,PERKOTAAN,2019,MARET,137577.00000000003,2916810.0,640398.9999999999,15065.000000000002,2,Menengah
ACEH,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,140281.00000000003,2916810.0,640398.9999999999,15065.000000000002,2,Menengah
ACEH,NONMAKANAN,PERKOTAAN,2020,MARET,143425.0,3165031.0,704431.0,18099.0,2,Menengah
ACEH,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,144182.0,3165031.0,704431.0,18099.0,2,Menengah
ACEH,NONMAKANAN,PERDESAAN,2019,MARET,106943.0,2916810.0,334915.0,15065.000000000002,0,Menengah
ACEH,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,110247.99999999999,2916810.0,334915.0,15065.000000000002,0,Menengah
ACEH,NONMAKANAN,PERDESAAN,2020,MARET,116270.00000000001,3165031.0,378673.0,18099.0,0,Menengah
ACEH,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,116847.0,3165031.0,378673.0,18099.0,0,Menengah
ACEH,NONMAKANAN,PERKOTAAN,2021,MARET,147729.0,3165031.0,724090.0000000001,17037.0,2,Menengah
ACEH,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,151144.0,3165031.0,724090.0000000001,17037.0,2,Menengah
ACEH,NONMAKANAN,PERKOTAAN,2022,MARET,157867.0,3166460.0,716409.0,16772.0,2,Menengah
ACEH,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,164956.0,3166460.0,716409.0,16772.0,2,Menengah
ACEH,NONMAKANAN,PERDESAAN,2021,MARET,122118.0,3165031.0,378673.0,17037.0,0,Menengah
ACEH,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,126262.00000000001,3165031.0,378673.0,17037.0,0,Menengah
ACEH,NONMAKANAN,PERDESAAN,2022,MARET,131658.0,3166460.0,406040.0,16772.0,0,Menengah
ACEH,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,140763.00000000003,3166460.0,406040.0,16772.0,0,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,MARET,261677.0,1625000.0,416073.0,10618.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,SEPTEMBER,273271.0,1625000.0,416073.0,10618.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,MARET,290096.0,1811875.0,493141.00000000006,11646.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,SEPTEMBER,302027.0,1811875.0,493141.00000000006,11646.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,MARET,266143.0,1625000.0,413087.0,10618.0,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,SEPTEMBER,284650.0,1625000.0,413087.0,10618.0,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,MARET,304942.0,1811875.0,450979.0,11646.0,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,SEPTEMBER,313234.0,1811875.0,450979.0,11646.0,3,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,MARET,311996.0,1961353.9999999998,553689.9999999999,13396.000000000002,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,SEPTEMBER,321688.0,1961353.9999999998,553689.9999999999,13396.000000000002,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,MARET,328225.0,2132189.0,586199.0,13257.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,SEPTEMBER,345167.0,2132189.0,586199.0,13257.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2017,MARET,316190.0,1961353.9999999998,490603.00000000006,13396.000000000002,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2017,SEPTEMBER,322221.99999999994,1961353.9999999998,490603.00000000006,13396.000000000002,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2018,MARET,333843.0,2132189.0,519511.99999999994,13257.0,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2018,SEPTEMBER,342317.0,2132189.0,519511.99999999994,13257.0,3,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2019,MARET,354346.0,2303403.0,612135.9999999999,14061.000000000002,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2019,SEPTEMBER,366831.0,2303403.0,612135.9999999999,14061.000000000002,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2020,MARET,376919.0,2499423.0,643456.0,15948.999999999998,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2020,SEPTEMBER,378679.0,2499423.0,643456.0,15948.999999999998,1,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2019,MARET,348030.0,2303403.0,533737.0,14061.000000000002,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2019,SEPTEMBER,367379.00000000006,2303403.0,533737.0,14061.000000000002,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2020,MARET,376656.0,2499423.0,544440.9999999999,15948.999999999998,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2020,SEPTEMBER,378550.0,2499423.0,544440.9999999999,15948.999999999998,3,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2021,MARET,397996.0,2499423.0,630458.0,15486.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2021,SEPTEMBER,409313.0,2499423.0,630458.0,15486.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2022,MARET,431588.0,2522610.0,689463.0,15131.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERKOTAAN,2022,SEPTEMBER,458089.0,2522610.0,689463.0,15131.0,1,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2021,MARET,391979.00000000006,2499423.0,579668.9999999999,15486.0,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2021,SEPTEMBER,399971.0,2499423.0,579668.9999999999,15486.0,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2022,MARET,415301.0,2522610.0,631364.0,15131.0,3,Menengah
SUMATERA UTARA,MAKANAN,PERDESAAN,2022,SEPTEMBER,438098.0,2522610.0,631364.0,15131.0,3,Menengah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2015,MARET,102643.0,1625000.0,453609.0,10618.0,2,Rendah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,106627.00000000001,1625000.0,453609.0,10618.0,2,Rendah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2016,MARET,108312.0,1811875.0,474404.0,11646.0,2,Rendah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,111808.0,1811875.0,474404.0,11646.0,2,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2015,MARET,65752.0,1625000.0,269407.0,10618.0,0,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,67987.0,1625000.0,269407.0,10618.0,0,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2016,MARET,72806.0,1811875.0,287255.0,11646.0,0,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,75473.0,1811875.0,287255.0,11646.0,0,Rendah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2017,MARET,113696.0,1961353.9999999998,491793.00000000006,13396.000000000002,2,Rendah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,117206.0,1961353.9999999998,491793.00000000006,13396.000000000002,2,Rendah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2018,MARET,120138.0,2132189.0,544628.0,13257.0,2,Rendah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,120623.0,2132189.0,544628.0,13257.0,2,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2017,MARET,79842.0,1961353.9999999998,278114.0,13396.000000000002,0,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,84935.0,1961353.9999999998,278114.0,13396.000000000002,0,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2018,MARET,87742.99999999999,2132189.0,337487.0,13257.0,0,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,93173.0,2132189.0,337487.0,13257.0,0,Rendah
